answer,label,윤경,지원,수연,승희,나현,,
우울해서 염색했다고 하니까 색이 어떻든 일단은 색에 대해 칭찬해준다,1,,0.7,0.7,0.7,0.7,,
무슨색으로?,1,,0.7,0.7,0.7,0.7,,
무슨색?,1,,0.7,0.7,0.7,0.7,,
왜 우울한데? 무슨일있어?,0,,0,0,0.3,0.3,,
왜 우울해? 괜찮아?,0,,0,0,0.3,0.3,,
이뻐,1,,1,1,1,1,,
왜 우울해?,0,,0,0,0.3,0,,
오 왜? 무슨 일 있었어?,0,,0,0,0.3,0.3,,
예쁘네~ 잘 어울리네~~,1,,1,1,1,1,,
왜 우울?,0,,0,0,0.3,0,,
왜 무슨일 있었나 ? ㅠㅠ,0,,0,0,0.3,0.3,,
ㅠㅠㅠㅠ왜 요즈음힘든일있어?,0,,0,0,0.3,0.3,,
왜 우울한데,0,,0,0,0.3,0,,
왜 무슨 일이야!,0,,0,0,0.3,0.3,,
엥 근데 잘어울린다 너랑,1,,1,1,1,1,,
오 무슨색?,1,,0.5,0.7,0.7,0.7,,
잘어울린다!,1,,1,1,1,1,,
오 머리 이쁘다 근데 왜 우울하니?,1,,0.7,0.7,0.7,0.7,,
기분전환? 염색 잘 됐다. 얼마주고 했어?,1,,1,0.7,0.7,1,,
무슨색,1,,0.7,0.7,0.7,0.7,,
아 진짜?,0,,0.5,0.5,0.5,0.5,,
무슨일있어?,0,,0,0,0.3,0.3,,
왜 우울해 ㅠㅠ 뭐 때문이야,0,,0,0,0.3,0.3,,
왜 우울한데??!,0,,0,0,0.3,0,,
왜?! 무슨 일 있어?? 왜 우울해..?,0,,0,0,0.3,0.3,,
왜 우울해?,0,,0,0,0.3,0,,
오 염색 잘되었다,1,,1,1,1,1,,
왜 우울한데요?,0,,0.3,0,0.3,0,,
헐 무슨일있어?,0,,0.3,0,0.3,0.3,,
이쁘다,1,,1,1,1,1,,
무슨색으로 염색했어?,1,,0.7,0.7,0.7,0.7,,
부럽다,1,,0.7,0.7,0.7,0.7,,
무슨 색으로 했어?,1,,0.7,0.7,0.7,0.7,,
그렇구나,0,,0.5,0.5,0.5,0.5,,
왜 우울해? 무슨 일 있어?,0,,0,0,0.3,0.3,,
화이팅,0,,0.3,0.3,0.7,0.7,,
싸웠어?,0,,0.5,0.3,0.3,0.3,,
염색 잘어울린다. 근데 왜 우울해?? 무슨 일 있어?,1,,1,0.7,0.7,0.7,,
아 그렇구나,0,,0.5,0.5,0.5,0.5,,
우울한데 왜 염색을해,0,,0.5,0.5,0.3,0.3,,
아 그래,0,,0.5,0.5,0.5,0.5,,
무슨 색으로?,1,,0.7,0.7,0.7,0.7,,
잘 어울린다,1,,1,1,1,1,,
왜 우울한데?,0,,0,0,0.3,0,,
기분이 좀 나아졌어?,0,,0.3,0.3,0.5,0.5,,
왜 우울한데?,0,,0,0,0,0,,
오 색깔 이쁘다(안 이뻐도 이쁘다 함) 근데 무슨일 있어?,1,,0.7,0.7,0.7,0.7,,
머리 색이 잘 어울린다는 등 칭찬을 해준다,1,,1,1,1,1,,
왜 우울했어요 먼저 물어볼고 어 염색했네..? 라고 할 것 같습니다,0,,0.3,0.3,0.3,0.5,,
어쩌라고,0,,0,0,0,0,,
잘어울려,1,,1,1,1,1,,
무슨 일 있어?,0,,0,0,0.5,0.5,,
잘어울리네,1,,1,1,1,1,,
왜 우울해?,0,,0,0,0,0,,
왜 우울해,0,,0,0,0,0,,
네,1,,1,1,1,1,,
잘어울리네요 무슨일있어요?,1,,0.7,0.7,0.7,0.7,,
왜 우울하셨어요 ㅜ 무슨 일 있으셨어요? 물어보고 답 들은 다음에 어디서 염색하셨냐고 진짜 잘된 것 같다고 저도 그 미용실좀 알려달라고(진짜 궁금한 거) 칭찬하면서 말할 것 같아요 그래야 기분도 좋아지고 제가 궁금했던 것도 풀림 ㅎㅎ,0,,0.3,0.3,0.3,0.5,,
무슨일있어?,0,,0,0,0.3,0.3,,
헤어졌어?,0,,0,0,0,0,,
왜우울했는데?,0,,0,0,0,0,,
왜 우울함?(무심하게),0,,0,0,0,0,,
어 괜찮네~,1,,1,1,1,1,,
왜 우울했어?,0,,0,0,0,0,,
잘어울리네,1,,1,1,1,1,,
"머리 색깔 보면 너가 요새 우울한지 아닌지 알 수 있겠다, 다른 우울 해소법을 찾아봐 머리카락 상할라",1,,0.3,0.3,0.3,0.3,,
오 기분은 괜찮아졌어?,0,,0.3,0.3,0.5,0.3,,
너무 예쁘네 잘했오 무슨일있었어?,1,,0.7,0.7,0.7,0.7,,
왱 무슨일있었냥,0,,0,0,0.3,0.3,,
엥 왜 ?,0,,0.5,0.5,0.5,0.5,,
무슨일이야 ㅠ,0,,0,0,0,0.3,,
무슨 색??,1,,0.7,0.7,0.7,0.7,,
뭐 땜에 우울한데 ㅠㅡㅠ,0,,0.7,0,0.3,0.3,,
그랬구나...,0,,0.5,0.5,0.5,0.5,,
주식 떨어졌어?,0,,0,0,0,0,,
기분전환에는 머리 바꾸는 게 최고지!! 근데 무슨 일 있었어?,1,,0.7,0.7,0.7,0.7,,
우울한데 염색을 왜해?,1,,0.5,0.5,0.5,0.5,,
잘했어,1,,1,1,1,1,,
그렇게 해서 우울한게 가셨으면 다행이다~~,0,,0.3,0.3,0.3,0.3,,
(안타까운 표정을 지으며)아.. 그래? 그랬구나.. 왜 우울했는데?,0,,0,0,0,0.3,,
헉 왜 우울해,0,,0,0,0,0.3,,
왜 우울해?? 뮤슨색 했_데,0,,0.7,0.3,0.3,0.5,,
"속마음은 우울한데 왜 염색을 했어인데, 왜 우울했어라고 물어볼 것 같다",0,,0.5,0,0.5,0.5,,
왜 우울해,0,,0.5,0,0,0,,
잘 어울린다!,1,,1,1,1,1,,
뭔색으로?,1,,0.7,0.7,0.7,0.7,,
왜?! 라고 물어보고 열심히 들어주신 하지만 별 신경 안쓰,0,,0.5,0.5,0.5,0.5,,
우울한데 왜 염색을 해?,1,,0.5,0.5,0.5,0.5,,
헐 왜 우울해?ㅠㅠ 무슨 색으로 한거야?,0,,0.3,0.3,0.3,0.5,,
오 잘어울린다 무슨 색이야?,1,,1,1,1,1,,
엥 왜 우울해,0,,0,0,0,0,,
예쁘다,1,,1,1,1,1,,
엥 왜 우울해? 염색을 했다고??무슨색으로?,1,,0.3,0.3,0.3,0.3,,
예쁘다! 근데 왜우울한데?,1,,1,1,0.7,0.7,,
안돼,0,,0,0,0,0,,
말린다,0,,0,0,0,0,,
미쳤냐,0,,0,0,0,0,,
미쳤구나,0,,0,0,0,0,,
빚까지 내서 한다고?,0,,0,0,0,0,,
말린다 근데 완곡하다면 그냥 냅둔다,0,,0,0,0.3,0.3,,
재정신인지 묻는다.,0,,0,0,0,0,,
하지마,0,,0,0,0,0,,
미쳤냐 하지마,0,,0,0,0,0,,
장난하냐,0,,0,0,0,0,,
미쳤니 절대안돼,0,,0,0,0,0,,
절대금지,0,,0,0,0,0,,
그러지마,0,,0,0,0,0,,
빚을 크게 지면서 투자? 미쳤어?,0,,0,0,0,0,,
절대 하지 말라고 한다.,0,,0,0,0,0,,
정신차려 친구야,0,,0,0,0,0,,
너무 무리한다고 조언,0,,0,0,0,0,,
잘생각해봐 그게맞아?,0,,0,0,0,0,,
너가 저돈 없어져도 괜찮겠어?,0,,0,0,0,0,,
하지마라,0,,0,0,0,0,,
?!? 빚내서 투자하는거는 잘생각해보자,0,,0,0,0,0,,
미쳤냐 확실하지도 않은데 개소리하지 말아라 나중에 후회하고 망하면 결혼도 못한다,0,,0,0,0,0,,
야야 그건 너무 위험하지 않을까….?야 다시 생각해봐 야ㅑ야,0,,0,0,0,0,,
병신,0,,0,0,0,0,,
그건 너무 위험해,0,,0,0,0,0,,
너무 하루살이 전략인 것 같아. 어쩌면 오늘 하루도 못 하는 전략 같기도 해.,0,,0.5,0,0.3,0.3,,
하고싶으면 해봐라,0,,0.5,1,0.5,0.5,,
야야 왜그래,0,,0.5,0,0.3,0.3,,
빚을 내며 투자를 하는건 넘 위험해!,0,,0.5,0,0,0,,
빚지는건 오바다,0,,0.3,0,0,0,,
돌았니?,0,,0,0,0,0,,
ㄱ다시 생각해,0,,0,0,0,0,,
나한테 빌리진 마라,0,,0,0.3,0.3,0.3,,
빚은 내지 말자!,0,,0,0,0,0,,
미래의 너가 다 갚아주겠지? 너 하고싶은대로 해라~~,0,,0.3,1,0.7,0.7,,
음음.... 리스크가 너무 크지 않을까...?,0,,0,0,0,0,,
그러지마..나랑같이미국주식하자...,0,,0,0,0,0,,
헛소리 ㄴ,0,,0,0,0,0,,
"오우 1억은 좀,,",0,,0,0,0,0,,
투자는 돈 여유가 있을 때 하는게 좋을 거 같아,0,,0,0,0,0,,
인생똑바로 살아,0,,0,0,0,0,,
그래도 1억 빚은 좀 아니지 않니..?,0,,0,0,0,0,,
미친놈아,0,,0,0,0,0,,
빚 지면서 투자는 너무 위험하다,0,,0,0,0,0,,
와우..난 쫄려서 못해,0,,0.3,0.7,0.3,0.3,,
야 안돼..!! 1억은 너무 무리야...감당할 수 있을만큼만 해..,0,,0,0,0,0,,
미쳤나봐.,0,,0,0,0,0,,
온마음을 다해 뜯어말린다,0,,0,0,0,0,,
인생 망칠 일 있냐.... 라고 진지하게 말한다,0,,0,0,0,0,,
ㅋㅋ종목 뭔데,0,,0,-,0.5,0.5,,
미쳤냐?,0,,0,0,0,0,,
정신차리라고 한소리한다,0,,0,0,0,0,,
미쳤냐고 말한다.,0,,0,0,0,0,,
너 병신이야? 빚내고 투자하는 건 확실한 거 아니면 죽는 거뿐이다,0,,0,0,0,0,,
다잃어도 갚을수있는 수준에서 하라고한다,0,,0.5,0.7,0.5,0.7,,
미쳤네,0,,0,0,0,0,,
잘 알아보고 해보라고 한다. 망해도 도와달라고는 하지 말라고 한다.,0,,0.3,0.7,0.7,0.7,,
응 안돼 돌아가,0,,0,0,0,0,,
개소리하지마,0,,0,0,0,0,,
너같은 새키한테 1억을 누가 빌려주냐ㅋ,0,,0,0,0,0,,
더 깊게 고민해보라고 한다,0,,0,0,0,0,,
다시 한 번 생각해보라고 할 것 같습니다,0,,0,0,0,0,,
한강이 가까워졌네,0,,0,0,0,0,,
적당히,0,,0,0,0,0,,
정신차려 제발,0,,0,0,0,0,,
"야 1억은 좀 아니지 투자는 있는 돈, 남는 돈 중에 여유자금으로 한 거지 빚까지 내서 한다? 미쳤냐 나중에 망해도 난 돈 안 빌려줌 아니 그냥 1억 대출하는 순간 손절할 거임 그정도로 오바다 절대 ㄴㄴ",0,,0,0,0,0,,
아무말 안하고 조용히 손절,0,,0,0,0,0,,
나중에 잃어도 후회안할자신있어?나중에 잃어도 나한테 돈빌려달라고하지마,0,,0,0,0,0,,
적당히해라;,0,,0,0,0,0,,
옆에 짱돌로 내려친다.,0,,0,0,0,0,,
그게맞아?,0,,0,0,0,0,,
만약 투자에 실패한다고 해도 너에게 피해가지 않는 선에서 투자를 하는게 좋지 않을까?,0,,0,0,0,0,,
Are you sure?,0,,0,0,0,0,,
엥 오바야,0,,0,0,0,0,,
야 빚은 좀..;;;,0,,0,0,0,0,,
그러지마 제발 투자에 1억이라니 미친 소리 말고 되는 범위에서 하자 제발,0,,0,0,0,0,,
한번은 말리겠지만 빚을 내겠다는 의지가 강하면 신경 안쓴다.,0,,0,0,0,0,,
다시 한번 생각해보고 실패했을 때 어떻게 복구할 것인지 대책을 마련하고 할 것을 권유,0,,0,0,0,0,,
미쳤니?,0,,0,0,0,0,,
wow 빚투 앙대,0,,0,0,0,0,,
짜증남,0,,0,0,0,0,,
뭐 해결책을 주려고 저러나?,0,,0.3,0.7,0.5,0.5,,
부담스럽다.,0,,0,0,0,0,,
짜증난다,0,,0,0,0,0,,
짜증난다,0,,0,0,0,0,,
안 좋다,0,,0,0,0,0,,
열받는다,0,,0,0,0,0,,
귀찮아죽겠네,0,,0,0,0,0,,
그냥 망했는데?,0,,0,0,0,0,,
짜증난다,0,,0,0,0,0,,
그냥 속상함,0,,0,0,0,0,,
그냥 위로만해 딴말말고,0,,0,0,0,0,,
킹받네,0,,0,0,0,0,,
딱히 서운하진 않다. 질문에 대답해준다.,0,,0.3,0.5,0.7,0.5,,
아니 이새끼,0,,0,0,0,0,,
아무생각없다,0,,0.5,0.5,0.5,0.5,,
아몰라,0,,0.3,0.5,0.5,0.5,,
혼나는 기분,0,,0,0,0,0,,
서운하다,0,,0,0,0,0,,
질문에 설명은 해 주는데 기분 공감 안 해 줘서 기분 안 풀림,0,,0,0,0,0,,
 기분 공감 안 해 줘서 기분 안 풀림,0,,0,0,0,0,,
질문을 들을수록 현타온다,0,,0,0,0,0,,
알 거 없다고 말하고 싶다,0,,0,0,0,0,,
특별한 생각이 들지 않는다,0,,0.3,0.5,0.5,0.5,,
났겠냐,0,,0,0,0,0,,
망한 주식 생각밖에 안 남,0,,0,0,0,0,,
그건 내 기분이 나아지고 말해줘도 늦지 않지 않을까?,0,,0,0,0.3,0.3,,
짜증난다 공감못해줘서,0,,0,0,0,0,,
얘는 이거 안샀으려나,0,,0.5,-,0.5,0.5,,
서운하다,0,,0,0,0,0,,
말을 더 이상 안할 것 같다,0,,0,0,0,0,,
별 생각 안든다,0,,0.5,0.5,0.5,0.5,,
살짝 당황,0,,0.5,0,0.3,0.3,,
대답하기싫음,0,,0,0,0,0,,
조금 속상하다,0,,0,0,0,0,,
저자식이..,0,,0,0,0,0,,
괜히 전화했다.,0,,0,0,0,0,,
전화끊고싶다,0,,0,0,0,0,,
쟤도 망했는데 뭘요,0,,0,0,0,0,,
이 친구는 내 기분보다 그게 더 중요한가?,0,,0,0,0,0,,
대답해준다,0,,1,1,1,1,,
그냥 슬프다,0,,0,0,0,0,,
좀 짜증난다.,0,,0,0,0,0,,
물어보는 대로 답해줄 것이다 어차피 그거 말하려고 전화한 것이다,0,,1,1,0.7,1,,
별 생각 없음,0,,0.5,0.5,0.5,0.5,,
남의 감정에 공감을 못한다는 생각이 든다.,0,,0,0,0.3,0,,
뭐지?,0,,0,0,0.3,0.3,,
개새끼야,0,,0,0,0,0,,
기분 안 좋은데 왜 캐뭍고 난리야ㅡㅡ,0,,0,0,0,0,,
모르겠다,0,,0.5,0.5,0.5,0.5,,
위로 먼저..,0,,0,0,0,0,,
아몰랑 뭘그렇게 캐묻니,0,,0,0,0,0,,
미친놈,0,,0,0,0,0,,
나 우울한건 안보이나..?,0,,0,0,0,0,,
옆에 짱돌이 있나 찾아본다.,0,,0,0,0,0,,
모르겠음,0,,0.5,0.5,0.5,0.5,,
묻지마 자세한건...,0,,0,0,0.3,0.3,,
쪽팔림,0,,0,0,0,0,,
아..그냥 힐링하려고 통화한건데 여기서 진이 또 빠지네.. 좀 가라앉았을 때 물어봐주면 안되나,0,,0,0,0,0,,
별 생각 없이 묻는 질문에 대답한다.,0,,0.5,0.5,0.5,0.5,,
우울쪾쪾 내 기분도 신경 써주지 뭐지..,0,,0,0,0,0,,
허탈한 기분이든다,0,,0,0,0,0,,
뭔가 내 속상한 감정은 신경 안쓰는 느낌..?,0,,0,0,0,0,,
마음대로하라고한다,1,,0.7,0.7,0.7,0.7,,
춘식이 너가 충분히 알아봤고 기회라고 생각한다면 그렇게 해라라고 말할거 같다.,1,,1,1,1,1,,
투자 수익이 높은 확률로 난다면 감당 가능할 선까지 내라고 한다.,1,,1,1,0.7,0.7,,
개멋있다.,1,,1,1,1,1,,
화이팅,1,,1,1,1,1,,
그래 한 번 해봐,1,,1,1,1,1,,
ㅋㅋㅋㅋ 응원한다,1,,1,1,1,1,,
그러라고한다,1,,1,1,1,1,,
너 선택이지만 신중하게 해,1,,1,1,0.7,0.7,,
정보에 대한 신뢰도는?,1,,0.7,0.7,0.5,0.5,,
잘 고려해보고 결정해,1,,0.7,0.7,0.7,0.7,,
신중히 생각해보라고 한다,1,,0.7,0.7,0.7,0.7,,
신중히 고민해보고 해라,1,,0.7,0.7,0.7,0.7,,
신중해라,1,,0.7,0.7,0.7,0.7,,
신중하게 생각해라,1,,0.7,0.7,0.7,0.7,,
믿을만한데면 하라고 한다,1,,1,1,0.7,0.7,,
수익나면 말해라..,1,,1,1,0.7,1,,
꺼져,0,,0,0,0,0,,
네,1,,1,1,1,1,,
오케이 같이태우자,1,,1,1,1,1,,
나도 할래,1,,1,1,1,1,,
당연한것이다 물어보는게 당연하다,1,,0.7,0.7,0.7,0.7,,
다 대답해준다.,1,,1,0.7,0.7,0.7,,
기분의 변화는 없고 질문에 대한 대답을 한다.,1,,0.5,0.7,0.7,0.7,,
그저그렇다 엎질러진물을담을순없으니,1,,0.5,0.3,0.5,0.5,,
기분 상해하지 않고 답해준다,1,,0.5,1,0.7,0.7,,
다 얘기한다,1,,0.5,1,0.5,1,,
멘탈 날라갈뻔하다가 저말에 정신차리고 침착하자고 생각할 듯,1,,1,1,0.7,0.7,,
물어봐줘서 고맙다,1,,1,1,1,1,,
나한테 관심이 많구나,1,,1,1,1,1,,
나의 주식 상황을 상세하게 알려준다,1,,1,1,1,1,,
말이라도 해서 기분이 나아진다,1,,1,1,1,1,,
혹시 같은 층에 살고있나 라는 생각에 알려줄것같다,1,,1,1,1,1,,
주식에 관심이 많구나!,1,,1,1,1,1,,
좋다,1,,1,1,1,1,,
신경써주네,1,,1,1,1,1,,
좋아요,1,,1,1,1,1,,
나에게 관심이 있는 것 같다고 느낀다,1,,1,1,1,1,,
무슨종목이고 손해는 얼마고 다 말한다,1,,1,1,0.7,0.7,,
그냥 대답한다,1,,0.7,0.7,0.5,0.7,,
그러려니 한다,1,,0.5,0.5,0.5,0.5,,
아무생각 안든다. 사실 친구가 궁금해하기전에 먼저 구구절절 다 말해줄 것 같기도 하다.,1,,0.7,0.7,0.5,0.7,,
아무 생각 안들고 말할 것 같애요!,1,,0.7,0.7,0.5,0.7,,
친절히 다 설명해준다.,1,,1,1,1,1,,
친구 잘못도 아닌데 별 생각안듦,1,,0.7,0.7,0.5,0.5,,
으휴 얜 내 얘기가 아니라 주식만 관심있구나,0,,0.5,0,0.3,0.3,,
어떤 상황인지 더 자세하게 말해준다,1,,1,1,0.7,0.7,,
궁금한가보다.,1,,0.7,0.7,0.7,0.7,,
아무 생각안나고 상황에 대해 설명해준다.,1,,0.7,0.7,0.5,0.5,,
날 걱정해주다니..고마워 친구..,1,,1,1,1,1,,
속상해 하면서 성실히 답변해준다,1,,1,1,0.3,0.3,,
술사줘,0,,1,-,0,0,,
대답함,1,,0.7,0.7,0.7,0.7,,
별 생각없이 다 알려줄것같음,1,,0.7,0.7,0.5,0.5,,
궁금한가보다 싶다,1,,0.5,0.5,0.5,0.5,,
물어본 질문에 답변할 생각. 손해는 슬프다,1,,0.7,0.7,0.7,0.7,,
손해는 슬프다,0,,0,0,0,0,,
나에게 관심을 가져주어 좋다,1,,1,1,1,1,,
그럴 수 있지,1,,0.5,0.5,0.5,0.5,,
알려줌,1,,0.7,0.7,0.7,0.7,,
네,1,,1,1,1,1,,
이친구가 진심으로 내 상황을 걱정하고 궁금해하고 있구나... 사면서 종목은 뭐_는지 손해는 얼마나 났는지 다 알려줄 거고 다른 거 수익 난 거 있냐고 물어보는 친구의 의도를 생각하며 '이 친구가 지금 다른 수익난 주식을 생각하며 마음을 진정해보라 하는 구나..' 하며 의도대로 마자~ 그건 수익 났지 하면서 고맙다고 웃을 것 같다,1,,1,1,1,1,,
이 친구 진짜 나 걱정하는구나,1,,1,1,1,1,,
됐고 술이나 마시자,0,,0.5,-,0,0,,
"손해가 난 것을 알려줄 수 있지만, 수익이 난 것은 나중에 친구 상황이 좋아지면 말해줘야지",1,,0.5,0.7,0.5,0.5,,
관심가져주고 질문많이 해줘서 고마움,1,,1,1,1,1,,
그냥 나한테 관심많네 할듯,1,,1,1,1,1,,
조언 고마워,1,,1,1,1,1,,
기업 직접공부해본겨?,0,,0.7,0.7,0.5,0.5,,
잘생각해봐라,1,,0.5,,0.5,0.5,,
어떤 점 때문에 투자하는지 물어본다,1,,0.7,0.7,0.5,0.5,,
확실? 괜찮?,0,,0.3,0.7,0.5,0.5,,
잘알아본게 맞나…?,0,,0.3,0.3,0.3,0.3,,
투자와 투기를 구분하라고 조언,1,,0.3,0.3,0.3,0.3,,
야수의 심장이 되길 바라,1,,0.3,-,0.3,0.3,,
확실한건가?,0,,0.3,0.7,0.3,0.3,,
투자라는건 모든책임은 자신에게 있는것이므로 신경안쓴다,1,,0.3,0,0.5,0.5,,
왜 하는지 자세히 물어본다,1,,0.7,0.7,0.7,0.7,,
빚을 내지 말고 남는 여윳돈으로 해라. 그래서 어떤 기회인데?,1,,0.7,0.7,0.7,0.5,,
아 진짜?,1,,0.5,0.5,0.5,0.5,,
확실하게 알아보고 투자하는거 맞아?,1,,0.7,0.7,0.7,0.7,,
후회하지 않은 선택을 해,1,,0.7,0.7,0.7,0.7,,
투자는 너의 책임이다,0,,0.3,0.3,0.5,0.5,,
어디서 그 소식으루들었나 물어본다. 그리고 이상한거면 정신차리라고 한다.,0,,0.3,0.3,0.3,0.3,,
만약 실패시 어떡해할거야,0,,0.3,0.3,0.3,0.3,,
돈좀 땡겨주려나?,1,,0.3,-,0.5,0.5,,
설명 다해주고 슬퍼한다,1,,0.3,0.3,0,0.3,,
아무생각없음,1,,0.5,0.5,0.5,0.5,,
나랑은 상관없는일,0,,0.5,0.5,0.5,0.5,,
우울한 상태에서 질문에 답한다,0,,0.3,0.3,0.3,0.3,,
별 생각 안든다,1,,0.5,0.5,0.5,0.5,,
아무생각없음,1,,0.5,0.5,0.5,0.5,,
아무생각 안듬,1,,0.5,0.5,0.5,0.5,,
아무생각안듦,1,,0.5,0.5,0.5,0.5,,
아무생각없음,1,,0.5,0.5,0.5,0.5,,
그냥 주식은 돈을 더 벌고 해야겠다고 생각할거 같네요,1,,0.5,0.5,0.3,0.3,,
짜증나는 상황이지만 물어봐주니 감정 해소차원에서 말한다,1,,0.5,0.3,0.3,0.3,,
별 생각 없음,1,,0.5,0.5,0.5,0.5,,
별 생각 없다,1,,0.5,0.5,0.5,0.5,,
딱히 별 생각 안든다,1,,0.5,0.5,0.5,0.5,,
아무생각도 안든다..,1,,0.5,0.5,0.5,0.5,,
뭔가 쎄하다,0,,0,0,0,0,,
아니요,0,,0,0,0,0,,
과하다,0,,0,0,0,0,,
고맙지만 과하다,0,,0.3,0.3,0.3,0.3,,
경계한다,0,,0.3,0,0,0,,
마음에 들지만 경계한다,0,,0.5,0.3,0.3,0.3,,
마음에 안든다,0,,0,0,0,0,,
글씨체는 투머치,0,,0,0,0.3,0,,
좋은데 부담스럽다,0,,0.3,0.3,0.3,0.3,,
불편하다..,0,,0,0,0,0,,
별로다,0,,0,0,0,0,,
아니요 니가 뭔데요?,0,,0,0,0,0,,
이정도면 변액보험 권유하는거아님 스캠사기다,0,,0,0,0,0,,
글씨체는 왜 알려주는 거야 부담스럽네,0,,0,0,0,0,,
너무 과하다,0,,0,0,0,0,,
아니요...,0,,0,0,0,0,,
아니요 죽이고 싶습니다,0,,0,0,0,0,,
부담스러워요..,0,,0,0,0,0,,
아니요,0,,0,0,0,0,,
그건 좀..,0,,0,0,0,0,,
훈수는 싫어요,0,,0,0,0,0,,
개싫_ㅋㅋㅋㅋ,0,,0,0,0,0,,
뭐든 극단적인사람은 별로임,0,,0,0,0,0,,
너무 많은 관심은 별로,0,,0,0,0,0,,
아뇨,0,,0,0,0,0,,
아니요. 물어본 것만 대답했으면.,0,,0,0,0,0,,
아뇨,0,,0,0,0,0,,
훈수를 두는 것은 마음에 들지 않는다,0,,0,0,0,0,,
처음엔 별로,0,,0,0,0,0,,
일부 마음에든다,1,,0.7,0.7,0.7,0.7,,
적당히 알려줬으면,0,,0.3,0.3,0.3,0.3,,
광고같아서 불편하다,0,,0.3,0,0,0,,
시선은 간다,1,,0.7,1,0.7,0.7,,
광고같아서 불편하지만 시선은 감,1,,0.7,0.7,0.7,0.7,,
마음에 들지만 사기꾼이 아닌지 의심,0,,0.3,0.3,0.3,0.3,,
마음에 든다,1,,1,1,1,1,,
"마음에 들지만 글씨체까지 알려주는건 좀 부담,,",0,,0.3,0.3,0.3,0.3,,
좀 부담스럽긴한데 도움은 되니 고맙군,1,,0.7,0.7,0.5,0.7,,
부담스럽다,0,,0,0,0,0,,
너무 훈수를 많이 두는것도 별로일 것 같지만 그래도 안 알려주는것보단 낫다.,0,,0.7,0.7,0.7,0.7,,
너무 훈수를 많이 두는것도 별로,0,,0,0,0,0,,
그래도 안 알려주는것보단 낫다,1,,1,1,0.7,1,,
주식이 처음이라 일단은 들어볼게요,1,,1,1,0.7,0.7,,
나쁘지않지만 너무 지속된다면 별로,0,,0.3,0.3,0.3,0.3,,
나쁘지 않다,1,,1,1,1,1,,
